MinLeafSize,MaxNumSplits,MeanAcc,StdAcc,MeanAUC,StdAUC
2,50,0.788835208209986,0.0107129950055788,0.826004597549343,0.0187322769432914
1,25,0.791324728636274,0.00699879991720198,0.825332338396067,0.0136991229652686
2,25,0.79168028419183,0.00722432342165234,0.824263247486976,0.0134881736049572
1,50,0.788302032761003,0.0104655238201127,0.824149532614278,0.0185666357782857
5,50,0.788301716992303,0.0112718946353547,0.824042718712549,0.0172522757310888
20,100,0.786702664298401,0.00813336346039558,0.820736807787316,0.0175047754618679
10,100,0.779237892243931,0.0098061926647255,0.819101232176486,0.0151137541256105
10,50,0.789724097098875,0.010237845394078,0.819062691319979,0.0151238786241477
5,25,0.792568857312019,0.00810534296177117,0.818337070951647,0.0161285635091802
5,100,0.777282652457075,0.013191344545191,0.814976026120772,0.0148601052771769
20,50,0.789902190645352,0.0097756350526262,0.812847616112701,0.0134212379651263
50,100,0.792392026840339,0.00717059089279402,0.812249038080563,0.0150806943437358
10,25,0.792035523978686,0.00912604462916921,0.812214580184411,0.0108626711216102
50,50,0.791859325044405,0.00817706422344987,0.812051571893267,0.014043926641623
1,100,0.776570751924216,0.0122145208305417,0.812047452246435,0.0138214624783039
20,25,0.792746635089797,0.00836345997537077,0.809991145840976,0.0128062173543254
2,100,0.775681863035327,0.0111529719203014,0.809928982806271,0.0144164683105692
50,25,0.793813301756463,0.00636082852757469,0.807934580184411,0.0139998730369881
1,10,0.787769646733768,0.00949519338104807,0.805223283195148,0.0145872177477318
2,10,0.787769646733768,0.00949519338104807,0.805223283195148,0.0145872177477318
5,10,0.787769646733768,0.00949519338104807,0.805223283195148,0.0145872177477318
10,10,0.787769646733768,0.00949519338104807,0.805223283195148,0.0145872177477318
20,10,0.787769646733768,0.00949519338104807,0.805223283195148,0.0145872177477318
50,10,0.787769646733768,0.00949519338104807,0.805223283195148,0.0145872177477318
