Model,MeanAccuracy,StdAccuracy,MeanAUC,StdAUC
Naive Bayes,0.69854320110519,0.00416787970629158,0.817929440653509,0.0101764064663064
Decision Tree,0.764661693309651,0.0129836468623011,0.807998800596767,0.0199648145113636
